protein,gene name,ensymbol,cell type
CCR7,CCR7,ENSG00000126353,CD4+ CCR7-
CCR7,CCR7,ENSG00000126353,CD4+ CCR7+
CCR7,CCR7,ENSG00000126353,CD4+ CM
CCR7,CCR7,ENSG00000126353,CD4+ EM
CCR7,CCR7,ENSG00000126353,CD4+ EM CD69+
CCR7,CCR7,ENSG00000126353,CD4+ EM CD69+ CD103+
CCR7,CCR7,ENSG00000126353,CD4+ Naïve
CCR7,CCR7,ENSG00000126353,CD4+ TEMRA
CCR7,CCR7,ENSG00000126353,CD8+ CCR7-
CCR7,CCR7,ENSG00000126353,CD8+ CCR7+
CCR7,CCR7,ENSG00000126353,CD8+ CM
CCR7,CCR7,ENSG00000126353,CD8+ EM
CCR7,CCR7,ENSG00000126353,CD8+ EM CD69+ CD103+
CCR7,CCR7,ENSG00000126353,CD8+ Naïve
CCR7,CCR7,ENSG00000126353,CD8+ TEMRA
CCR7,CCR7,ENSG00000126353,CD8+EM CD69+
CD10,MME,ENSG00000196549,Activated Mature
CD10,MME,ENSG00000196549,CD20- CD10-
CD10,MME,ENSG00000196549,Exhausted/Tissue-like Memory
CD10,MME,ENSG00000196549,Mature B cells
CD10,MME,ENSG00000196549,Memory B cells
CD10,MME,ENSG00000196549,Plasma Cell
CD10,MME,ENSG00000196549,Plasmablast 
CD10,MME,ENSG00000196549,Resting Memory
CD10,MME,ENSG00000196549,Immature B cells
CD10,MME,ENSG00000196549,Immature B cells (CD20+)
CD10,MME,ENSG00000196549,Pre-B cell (CD20-)
CD10,MME,ENSG00000196549,Translational B cells
CD103,ITGAE,ENSG00000083457,CD4+ EM CD69+ CD103+
CD103,ITGAE,ENSG00000083457,CD8+ EM CD69+ CD103+
CD117,KIT,ENSG00000157404,Monoblast
CD117,KIT,ENSG00000157404,myeloblast
CD117,KIT,ENSG00000157404,promyelocyte
CD11B,ITGAM,ENSG00000169896,CD14+ Monocytes
CD11B,ITGAM,ENSG00000169896,Classical Monocytes
CD11B,ITGAM,ENSG00000169896,Intermediate Monocytes
CD11B,ITGAM,ENSG00000169896,Monocytes
CD11B,ITGAM,ENSG00000169896,Non-classical Monocytes
CD123,IL3RA,ENSG00000185291,pDC
CD13,ANPEP,ENSG00000166825,CD14+ Monocytes
CD13,ANPEP,ENSG00000166825,Classical Monocytes
CD13,ANPEP,ENSG00000166825,Intermediate Monocytes
CD13,ANPEP,ENSG00000166825,Monocytes
CD13,ANPEP,ENSG00000166825,Non-classical Monocytes
CD138,SDC1,ENSG00000115884,Plasma Cell
CD14,CD14,ENSG00000170458,CD1c+ DC
CD14,CD14,ENSG00000170458,cDC1 
CD14,CD14,ENSG00000170458,cDC2
CD14,CD14,ENSG00000170458,Monoblast/myeloblast/promyelocyte
CD14,CD14,ENSG00000170458,CD14+ Monocytes
CD14,CD14,ENSG00000170458,cDC
CD14,CD14,ENSG00000170458,Classical Monocytes
CD14,CD14,ENSG00000170458,Intermediate Monocytes
CD14,CD14,ENSG00000170458,Non-classical Monocytes
CD141,THBD,ENST00000377103,CD1c+ DC
CD141,THBD,ENST00000377103,cDC1
