oocyte #1,oocyte #3,oocyte #4,pronuclear #3,pronuclear #4,pronuclear #2,zygote #1,zygote #2,2 cell #1,2 cell #5,2 cell #6,4 cell #1,4 cell #2,4 cell #3,4 cell #4,8 cell #3a,8 cell #6a,8 cell #7a,8 cell #1b,8 cell #2b,8 cell #3b,8 cell #4b,8 cell #5b,8 cell #3c,8 cell #5c,8 cell *,morula #1,morula #4,morula #5,
ABCA4,0.03,0,0,0.33,0.11,0.69,0.05,0.28,0.08,0,0,0.28,0,0.1,0,0.49,0.03,0,1.41,0,0.74,5.65,0.21,0.53,1,0.5,0,0,0
ABCB10,0.03,0,5.89,0.23,0.1,0.11,0.03,0.13,0.51,0.91,0.43,0,0,0.1,0.56,2.84,0,0,0.03,0,0,0,0,5.15,0.03,0,1.86,9.05,16.72
ABCD3,4.93,7.73,14.28,51.97,42.84,45.03,17.28,17.29,41.15,34.94,58.4,34.01,59.5,21.4,19.88,11.42,10.45,6.39,9.71,24.89,1.75,4.08,0.31,0,0.03,12.24,8.44,20.78,23.28
ABL2,6.33,7.03,6.5,5.78,4.99,6.24,6.6,5.71,7.3,4.41,5.74,9.09,7.62,16.88,8.16,7.4,0.82,0.32,1.8,2.1,8.44,3.52,4.34,3.15,8.61,3.88,0.88,0.72,1.08
ACADM,0.03,2.89,7.09,0.44,0.05,0,0.03,0.32,0.1,1,0,0.53,0,0.1,0,0,0,0,0.03,0,0,0,7.01,0,0.03,0,4.3,13.85,17.37
ACAP3,0.03,0,0,0.14,0.2,0.02,0.01,0.31,0.11,0,0,0.22,0,0.1,0,0,0.17,0.1,0.03,0,0,0,0.31,2.56,0.03,0.14,0.13,0,0
ACBD3,31.37,63.48,49.81,32.83,25.89,14.25,17.82,11.01,35.36,81.77,33.57,40.17,34.52,13.06,33.16,36.87,56.81,48.37,39.09,41.34,105.29,44.68,24.71,5.19,12.92,83.16,8.42,18.52,12.42
ACBD6,0.03,2.76,4.84,4.68,7.58,8.69,1.39,3.66,6.66,4.3,2.81,23.82,5.89,0.1,0,1.26,0.13,0,0.03,1.01,31.11,1.3,6.67,0,4.09,0,20.22,72.99,49.84
ACOT11,0.03,0,0,0,0,0.08,0,0,0,0.29,0.34,0.15,9.86,5.69,0.49,152.2,188.43,254.18,100.11,324.03,277.51,244.99,157.27,265.21,315.97,16.63,390.25,39.2,31.06
ACOT7,0.03,1.42,1.83,3.82,7.86,8.65,6.05,0.63,0.65,3.67,0.68,1.72,5.4,54.56,0,0.79,3.85,0,0.03,0.32,5.88,0,0,0.77,5.9,6.11,22.05,5.49,6.25
ACP6,3.25,6.03,5.93,0.12,4.63,5.86,1.44,3.05,0.19,1.17,1.35,1.02,0,8.49,2.58,0,0,0,0.03,0.3,0.49,9.05,0,0.62,0.03,0.7,0.5,0,0.43
ACTA1,0.03,0,0,0,0,0,0,0,0,0.41,0,0,0,0.1,0,0.11,3.45,0,66.53,0.52,1.27,18.72,0,0,19.08,0.02,0.87,0,0.08
ACTL8,771.07,644.15,781.41,1961.02,2447.84,2721.26,2721.26,1340,1108.66,826.33,985.37,2227.18,1172.06,603.32,1361.18,258.75,346.89,305.6,1079.65,527.71,759.37,1683.05,2362.43,70.58,74.16,1755,4.65,0.33,0.16
ACTN2,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.2,4.15,6.76,3.48,5.06,0,0.28,7.31,1.17,0.37,0.01,0.93,0.07
ADAM15,0.03,0.14,0,0.6,1.11,1.98,0.99,0.73,1.44,0,6.16,1.02,1.09,0.1,2.92,2.39,1.78,0,0.03,0.5,2.15,4.58,0.51,0,17.26,0.99,0.92,0,0.17
ADAMTS4,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.05,1.21,0.03,0,0,0,0,2.87,0.03,0,0,0,1.31
ADAR,12.39,12.44,5.81,44.71,43.14,26.63,78.83,60.72,140.88,23.03,44.45,112.67,97.92,49.41,88.67,3.16,1.64,1.43,21.5,6.32,16.19,27.16,28.09,1.98,2.4,24.26,1.34,3.1,2.56
ADC,37.59,18.7,20.94,14.99,24.77,28.31,15.13,17.88,33.8,13.13,3.48,14.94,25.48,5.51,41.31,3.22,3.09,20.09,3.16,6.8,19.21,2.28,8.11,8.19,5.37,20.4,1.06,0.1,0.06
ADCY10,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.15,0.09,0,0.03,0.81,0.61,3.67,0.31,0,0.03,0.08,0.05,0,0.05
ADIPOR1,5.51,24.91,0.63,12.32,10.29,12.36,17.7,10.9,13.68,1.97,7.88,7.09,4.59,0.1,16.47,66.83,49.29,66.04,6.41,34.42,29.54,11.78,7.24,95,5.09,95,24.3,11.17,5.63
ADORA1,0.03,0,0,0,0,0.03,0.01,0,0,0,0,0,0,0.1,1.05,0,0,0,0.03,0.65,9.55,0,0,0,0.03,0,0,0,0
ADORA3,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.03,0,0.51,0.62,13.77,0,0.03,0,0,0,0.72
ADPRHL2,13.18,0,0,2.07,0.73,0.41,1.34,0.17,0.05,0.67,9.96,12.39,0,0.1,0,5.09,4.48,6.39,7.77,3.73,42.77,1.28,27.27,3.05,2.12,1,24.74,16.14,10.55
ADSS,1.33,6.65,5.39,2.78,2.48,0.81,8.7,2.18,1.56,14.65,2.21,3.22,4.38,0.1,15.02,8.04,10.04,3.9,0.03,18.32,1.33,0,0.42,9.66,3.66,1.99,4.43,8.67,14.15
AGBL4,1.84,0.1,0,0.03,0.72,0.04,0.21,0,0.82,0,0,0.08,0.3,0.1,1.51,0,0,0,0.03,0,0,0,0,0,0.03,0.02,0,0,0
AGL,0.03,0.95,0,0.14,0.19,0.13,0.4,1.04,1.71,2.22,1.65,1.33,2.17,0.1,1.45,5.47,0.98,1.7,1.33,0,0.45,2.94,0,5.7,0.98,5.19,24.22,86.46,130.95
AGMAT,1.44,0.38,1.08,1.48,1.23,1.56,1.27,0.17,1.44,0,6.04,0.33,1.05,0.1,0,1.12,2.27,8.23,2,0,0,0,0,0,13.81,5.42,0.67,0,0.06
AGTRAP,6.69,44.01,20.83,35.76,48.5,43.4,38.64,31.03,17.78,4.06,3.82,7.92,4.15,0.1,25.43,11.11,0,1.13,57.57,25.08,14.23,37.89,38.67,0,3.79,7.44,14.05,5.7,1.42
AHCTF1,32.89,10.24,21.82,4.37,3.27,3.31,3.24,12.48,6.47,24.14,3.66,5.39,14.08,23.93,5.89,9.82,7.16,11.48,10.28,6.77,4.06,6.03,1.92,4.6,8.58,5.1,2.77,4.03,5.14
AHCYL1,3.38,7.01,10.1,14.05,15.99,18.31,6.84,7.94,6.34,3.78,22.15,8.46,3.45,3.8,8.68,0.19,6.3,2.34,1.34,0.2,0.3,7.9,0.23,0.43,12.83,2.95,3.1,9.13,6.13
AHDC1,0.03,0,0,0.23,0.23,0.57,0.26,0.42,0.96,1.36,0.37,0.93,2.24,6.41,0.25,0.09,0.18,0,8.26,0.16,0,0.95,0,0,1.39,0.5,0,0.06,0
AIDA,1.3,1.59,2.36,2.5,1.37,0.94,0.79,2.06,1.68,1.43,3.98,3.31,3.1,0.1,9.99,7.82,5.31,7.11,1.59,1.31,1.12,7.4,0.56,3.18,5.65,0.72,3.08,3.16,3.76
AIM1L,0.03,0.2,0.62,0.18,0.07,0.59,0.58,1.56,0.07,0.33,0,0,0,0.1,2.46,0.15,1.22,0,12.35,0.25,6.7,0.52,5.67,0,25,0,0.22,0,0
AJAP1,0.03,0,0,0.02,0.53,0.03,0.03,0.03,0,0,0,0.12,0,0.1,0,0,0,0,0.03,0,0,0,0,0,0.03,0.08,0,0,0
AK2,8.23,15.83,7.24,7.13,9.11,7.71,11.33,11,3.17,9.72,2.83,5.43,8.31,30.02,7.35,26.38,15.39,15.03,26.49,23.65,33.59,9.89,32.73,23.28,25.04,8.39,41.49,35.36,41.31
AK4,19.4,14.87,17.85,3.79,2.43,2.55,3.05,14.27,0.1,4.37,4.53,0.8,1.18,0.1,1.74,1.35,0.51,1.52,5.85,0.25,1.12,1.32,0.24,0,1.01,0.02,19.62,33.86,35.18
AK5,14.15,12.58,6.35,8.26,2.04,1.09,6.33,1.48,3.94,4.88,0.97,2.18,11.8,3.71,4.5,1.35,3.14,0.3,5.59,0.14,0,3.82,2.95,3.54,5.61,2.97,0.25,0.2,0.64
AKIRIN1,9.07,26.29,25.61,83.8,50.72,52.98,19.38,22.76,35.99,7.58,10.22,23.25,4.27,6.73,15.93,127.79,93.12,124.58,11.15,18.5,3.59,4.85,9.2,47.38,69.33,36.14,40.66,44.99,42.77
AKR1A1,3.93,4.54,2.32,6.56,19.48,29.65,9.79,9.19,15.91,1.59,6.38,6.7,56.45,8.16,13.59,4.91,1.46,7.34,2.53,13.89,11.54,45.23,5.04,16.25,4.8,50.14,88.15,32.63,48.46
AKR7A2,9.78,10.27,12.22,13.8,23.81,27.07,9.38,9.6,7.43,22.22,31.54,5.89,2.88,11.57,22.24,0,0.06,0.66,0.03,16.81,1.02,1.57,0,1.76,72.65,11.34,16.14,4.05,2.84
AKT3,36.74,23.51,34.07,13.17,19.34,20.84,18.04,37.28,16.33,11.62,13.27,12.77,24.45,21.76,9.1,8.5,3.05,10.98,29.23,7.24,4.17,3.29,2.8,0.59,36.41,4.05,1.52,2.11,5.85
ALDH4A1,0.03,0,0,0.09,0.36,0.56,0.44,0.03,0.13,0,0.45,0.1,0.28,0.1,0,0.6,0,0,0.03,0,0,0,0.51,0,0.03,0,0.4,0,0
ALDH9A1,36.8,30.79,25.52,80.48,69.78,57.83,47.78,74.71,147.73,91.6,175.21,125.74,164.67,152.81,69.33,10.23,6.85,20.8,82.5,27.95,13.84,33.75,49.38,1.77,5.52,48.92,8.17,14.75,13.4
ALG14,2.3,6.46,2.38,0.01,0.17,0.04,0.05,0,0.39,0,0,0,0,0.1,0,0,2.25,0,0.03,0,0.73,0,0.54,69.26,11.94,0,53.47,106.54,64
ALG6,8.72,6.35,9.23,3.26,1.61,0.63,7.04,6.36,4.05,7.6,14.87,1.65,4.83,3.13,0,7.8,3.99,1.82,0.03,10.98,1.29,0,0,6.21,0.03,0.02,6.77,33.26,35.21
ALPL,0.03,0,0,0.01,0,0,0,0,0,0,0,0.16,0,0.1,0.49,0.33,0.07,0,1.76,0,0,0,0.27,11.14,11.5,0,224.05,108.25,78.45
ALX3,0.03,0,0,0.06,0.06,0.06,0.03,0,0,0,0,0.23,0.39,0.1,1.14,0,0,0,0.03,0,0,0,0,0,0.03,0,0,0,0
AMIGO1,0.03,0,0.46,2.62,3.95,4.51,2.62,0.17,11.81,2.11,1.57,14.99,0.91,0.1,3.6,0,1.03,7.44,4.17,0.37,1.7,17.18,0,0,0.03,1.96,0,0.09,0
